z (m),u (m/s),tke (m2/s2),omega (1/s)
0,0,0.3719965,7.644444333
0.625,2.745,0.3719965,7.644444333
1.25,2.935,0.399671,7.644444444
2.5,3.175,0.436815,4.444444444
5,3.435,0.4920785,3.013333333
7.5,3.627,0.537977,2.593333333
10,3.824,0.5735525,2.626666667
12.5,4.021,0.5851465,2.573333333
15,4.21,0.626619,2.273333333
17.5,4.362,0.6345455,1.873333333
20,4.491,0.6524605,1.493333333
20.625,4.502,0.6427145,2.533333333
21.25,4.586,0.657361,1.848888889
22.5,4.606,0.649995,1.68
23.75,4.712,0.658821,2.204444444
26.25,4.854,0.6608125,1.873333333
28.75,4.993,0.651325,1.853333333
31.25,5.132,0.6259825,1.737142857
37.5,5.449,0.593047,1.733333333
43.75,5.782,0.5213605,1.674666667
50,6.077,0.4344095,1.482666667
56.25,6.338,0.352123,1.362666667
62.5,6.588,0.2544265,0.946666667
68.75,6.693,0.1753705,0.434666667
75,6.751,0.105973,0.434666667
