Time (s),ReferenceVelocity225,ReferenceVelocityat0,ReferenceVelocityat45
719.7485947009253,4.62852158,4.52778375,4.85991124
721.2055756618583,4.62820329,4.52774987,4.85863038
722.6625566227914,4.62762165,4.52782944,4.85760365
724.1195375837244,4.62652201,4.52769699,4.85705075
725.5765185446575,4.62539465,4.52682683,4.85671398
727.0334995055905,4.62471906,4.52659838,4.85719552
728.4904804665235,4.62394695,4.52633811,4.85821404
729.9474614274567,4.62316766,4.52617794,4.85934448
731.4044423883897,4.62287145,4.52624365,4.86095543
732.8614233493228,4.62267123,4.5262688,4.86285849
734.3184043102558,4.62229083,4.52672057,4.86472458
735.7753852711888,4.62171072,4.52713075,4.86679551
737.2323662321219,4.62093913,4.52777297,4.86885669
738.6893471930549,4.62006178,4.52816467,4.87089528
740.146328153988,4.61899911,4.52820934,4.87275778
741.603309114921,4.61819414,4.52907898,4.87490674
743.060290075854,4.61801292,4.52994452,4.87684727
744.5172710367871,4.61784505,4.53080493,4.87837968
745.9742519977201,4.6177624,4.53151286,4.87947572
747.4312329586533,4.6177008,4.532075,4.88049116
748.8882139195863,4.61790871,4.53249083,4.88170169
750.3451948805193,4.61825986,4.53266743,4.882616
751.8021758414524,4.61929994,4.53264741,4.8834723
753.2591568023854,4.62097968,4.53294927,4.88436915
754.7161377633184,4.62259063,4.53310995,4.88450109
756.1731187242515,4.62370721,4.53324548,4.88461711
757.6300996851845,4.6247858,4.53343954,4.88448723
759.0870806461176,4.62621142,4.53357147,4.88435324
760.5440616070506,4.62726024,4.53370187,4.88427572
762.0010425679836,4.62862477,4.53317772,4.88374746
763.4580235289167,4.62979012,4.53254781,4.88286087
764.9150044898498,4.63088616,4.53225519,4.88201587
766.3719854507829,4.63203456,4.53198362,4.88097835
767.8289664117159,4.63300637,4.53152159,4.87926113
769.2859473726489,4.63355106,4.53103543,4.87717326
770.742928333582,4.63443302,4.53102773,4.87458896
772.199909294515,4.63487401,4.53054054,4.8723209
773.656890255448,4.63499106,4.52991783,4.87023303
775.1138712163811,4.63545976,4.5295251,4.86826529
776.5708521773141,4.63636021,4.52917806,4.86651983
778.0278331382472,4.63708457,4.52908206,4.86457365
779.4848140991802,4.63751734,4.5289912,4.86336929
780.9417950601132,4.63837056,4.52851941,4.86246268
782.3987760210464,4.63929617,4.52779659,4.86177733
783.8557569819794,4.64032239,4.52688074,4.86107094
785.3127379429125,4.64101903,4.52612608,4.85993485
786.7697189038455,4.64100722,4.52505879,4.85933575
788.2266998647785,4.6412788,4.52416142,4.85934397
789.6836808257116,4.64177625,4.52349661,4.85964531
791.1406617866446,4.64169411,4.52337751,4.86025571
792.5976427475777,4.64151032,4.52313623,4.8613805
794.0546237085107,4.64118331,4.5230623,4.86259975
795.5116046694437,4.6410257,4.52266598,4.8634273
796.9685856303768,4.64062374,4.52277841,4.86452642
798.4255665913098,4.64011191,4.5232158,4.8658658
799.882547552243,4.63957082,4.52378461,4.86742747
801.339528513176,4.63898558,4.52458444,4.86933463
802.796509474109,4.63805997,4.52577494,4.87145331
804.2534904350421,4.63735614,4.52653883,4.87410229
805.7104713959751,4.63652089,4.52733763,4.8767025
807.1674523569081,4.63616564,4.5285995,4.87888791
808.6244333178412,4.63561428,4.52979718,4.8810456
810.0814142787742,4.63512915,4.53113297,4.88299743
811.5383952397073,4.63486477,4.53216895,4.8850278
812.9953762006403,4.63465429,4.53347034,4.88635332
814.4523571615733,4.63431135,4.53474914,4.88696474
815.9093381225064,4.63438477,4.53503714,4.88695294
817.3663190834395,4.63419533,4.53472912,4.88658074
818.8233000443726,4.6339597,4.53436668,4.88553963
820.2802810053056,4.63364295,4.5342445,4.88483426
821.7372619662386,4.6337718,4.53411051,4.8847665
823.1942429271717,4.63405826,4.53435385,4.88471105
824.6512238881047,4.63434318,4.53422499,4.88437839
826.1082048490377,4.63470819,4.53379735,4.8839179
827.5651858099708,4.63522412,4.53280347,4.88294558
829.0221667709038,4.63564457,4.53216587,4.88203846
830.4791477318369,4.63560607,4.53199954,4.88148299
831.9361286927699,4.63579396,4.53160424,4.88123093
833.3931096537029,4.6357185,4.53139222,4.88124222
834.8500906146361,4.63572158,4.53136347,4.88148915
836.3070715755691,4.63570515,4.53144972,4.88198815
837.7640525365022,4.63575443,4.53135115,4.88207131
839.2210334974352,4.63611277,4.53120381,4.88174635
840.6780144583682,4.63633865,4.53090452,4.88115546
842.1349954193013,4.63570464,4.53034649,4.88060872
843.5919763802343,4.63576984,4.5298516,4.88011024
845.0489573411674,4.6358109,4.52975355,4.87946802
846.5059383021004,4.63590485,4.52969862,4.87859324
847.9629192630334,4.63558605,4.52948146,4.87759012
849.4199002239665,4.63526006,4.52872938,4.87646327
850.8768811848995,4.63488068,4.52837618,4.87532462
852.3338621458327,4.63478006,4.52807073,4.87450169
853.7908431067657,4.63500492,4.52763385,4.87353656
855.2478240676987,4.63541972,4.52739719,4.87222747
856.7048050286318,4.63562661,4.52768929,4.8710308
858.1617859895648,4.63632171,4.52802298,4.86950969
859.6187669504978,4.63709125,4.52757532,4.86748959
861.0757479114309,4.63688385,4.52759791,4.86564659
862.5327288723639,4.63651319,4.52760048,4.86386777
863.989709833297,4.6367401,4.52697674,4.86245755
865.44669079423,4.63655272,4.52606499,4.86102422
866.903671755163,4.63624573,4.52572309,4.85970024
868.3606527160961,4.63672213,4.52547873,4.85810983
869.8176336770292,4.63717082,4.52511732,4.85590029
871.2746146379623,4.63733972,4.52485498,4.85390739
872.7315955988953,4.63727914,4.52413575,4.85174098
874.1885765598283,4.63695212,4.52258384,4.84996164
875.6455575207614,4.63690233,4.52191287,4.84857298
877.1025384816944,4.63630631,4.52157096,4.84848211
878.5595194426274,4.63521796,4.52083993,4.85009511
880.0165004035605,4.63476363,4.52048878,4.85283086
881.4734813644935,4.63416556,4.52058992,4.85611334
882.9304623254266,4.63319426,4.52091026,4.85983885
884.3874432863596,4.63249557,4.52131531,4.86296527
885.8444242472926,4.63200222,4.52172908,4.86610401
887.3014052082258,4.63127016,4.52221268,4.86850914
888.7583861691588,4.63033942,4.52300224,4.87032441
890.2153671300919,4.62926032,4.52385032,4.87194409
891.6723480910249,4.62809651,4.52471329,4.87315102
893.1293290519579,4.62719863,4.52548643,4.8737188
894.586310012891,4.62616317,4.52612814,4.87417519
896.043290973824,4.62494854,4.52679757,4.87438002
897.500271934757,4.62382837,4.52703885,4.87429275
898.9572528956901,4.62328676,4.52735971,4.87485283
